	importance
Clostridium_leptum	0.044847552838399155
Alistipes_finegoldii	0.039047607715251176
Roseburia_intestinalis	0.035385080193975654
Alistipes_putredinis	0.02993086932147731
Parabacteroides_merdae	0.028304014181551315
Bacteroides_stercoris	0.024620849877831377
Bacteroides_uniformis	0.023865682397805028
Firmicutes_bacterium_CAG_145	0.02246604152305944
Ruminococcus_torques	0.0215541544179184
Bacteroides_ovatus	0.02098284394644017
Bacteroides_xylanisolvens	0.02047912173294198
Ruminococcus_lactaris	0.019727371759243686
Bacteroides_caccae	0.018858070635563384
Bacteroides_thetaiotaomicron	0.017902015453589003
Clostridium_sp_CAG_58	0.016366822291691247
Dorea_longicatena	0.015111290619297188
Alistipes_shahii	0.015090488522485498
Fusicatenibacter_saccharivorans	0.014626317043257597
Ruminococcus_bromii	0.014418055590458407
Lawsonibacter_asaccharolyticus	0.01393448820749542
Eubacterium_eligens	0.013930095419866829
Ruthenibacterium_lactatiformans	0.013189696805781248
Anaerostipes_hadrus	0.012835020183551954
Roseburia_inulinivorans	0.012066589005816792
Flavonifractor_plautii	0.011578946277229493
Parabacteroides_distasonis	0.01153909040467502
Dorea_formicigenerans	0.011307254947639062
Bacteroides_dorei	0.011302912790317437
Eubacterium_ventriosum	0.011242670099960165
Ruminococcaceae_bacterium_D16	0.010607311742499527
Gemmiger_formicilis	0.010214028839236462
Eubacterium_rectale	0.009969701746501337
Ruminococcus_bicirculans	0.00996568587855196
Eubacterium_siraeum	0.009523976670430402
Bacteroides_vulgatus	0.00927942686566621
Bifidobacterium_longum	0.008941961755308318
Agathobaculum_butyriciproducens	0.008859952613653129
Dialister_invisus	0.008272019516417574
Asaccharobacter_celatus	0.008232141951189048
Eubacterium_hallii	0.008204531391686084
Collinsella_aerofaciens	0.008188237681570915
Lachnospira_pectinoschiza	0.008109681530892436
Bacteroides_massiliensis	0.008010394493777648
Coprococcus_comes	0.007481660415134042
Collinsella_intestinalis	0.007091138175798455
Veillonella_dispar	0.0069139315269026716
Eisenbergiella_massiliensis	0.006839371008527982
Bifidobacterium_pseudocatenulatum	0.006523482493390339
Eubacterium_sp_CAG_38	0.006522406312015115
Blautia_wexlerae	0.006521737446430972
Adlercreutzia_equolifaciens	0.006243381816689006
Bacteroides_fragilis	0.006140804498387979
Odoribacter_splanchnicus	0.006109307501831876
Bacteroides_nordii	0.006098524773111017
Blautia_obeum	0.006057371846019772
Anaeromassilibacillus_sp_An250	0.006055295532379
Clostridium_bolteae	0.005986744752507662
Roseburia_hominis	0.005869324812200188
Paraprevotella_xylaniphila	0.005860748851400022
Faecalibacterium_prausnitzii	0.005677352894507435
Sellimonas_intestinalis	0.005662187621586585
Paraprevotella_clara	0.005630030124386838
Barnesiella_intestinihominis	0.005535177508707681
Clostridium_sp_CAG_299	0.005442875014399991
Turicibacter_sanguinis	0.00529946491242262
Firmicutes_bacterium_CAG_83	0.0052120062356311855
Akkermansia_muciniphila	0.004985019179369213
Bilophila_wadsworthia	0.0048957689527724686
Prevotella_copri	0.004835393992255014
Eubacterium_ramulus	0.004794255059713046
Veillonella_parvula	0.004685070352467992
Ruminococcus_gnavus	0.004679913365802778
Parasutterella_excrementihominis	0.004541269078499414
Roseburia_faecis	0.004518343348874356
Bacteroides_cellulosilyticus	0.004513971062565418
Haemophilus_sp_HMSC71H05	0.0042689588911457126
Coprococcus_catus	0.004179951517592895
Oscillibacter_sp_57_20	0.004101810045325614
Veillonella_infantium	0.004026557144202487
Eisenbergiella_tayi	0.004026123361030482
Bacteroides_finegoldii	0.003972287123094166
Intestinimonas_butyriciproducens	0.0038330481249919317
Butyricimonas_synergistica	0.0037704375167674914
Veillonella_sp_T11011_6	0.00372966865682078
Haemophilus_parainfluenzae	0.003680605192111626
Bifidobacterium_adolescentis	0.00356168847825234
Clostridium_symbiosum	0.003549044081388587
Streptococcus_salivarius	0.003272279329812024
Streptococcus_parasanguinis	0.0032227531967779473
Bacteroides_salyersiae	0.0030645435075596747
Escherichia_coli	0.0030179789170056335
Bacteroides_galacturonicus	0.0029902952659861307
Veillonella_atypica	0.002933112449855057
Sutterella_parvirubra	0.002866896656388683
Coprococcus_eutactus	0.0028427528873035362
Bifidobacterium_bifidum	0.002677663945589319
Holdemania_filiformis	0.0026301037109555275
Clostridium_clostridioforme	0.0025182401546919335
Proteobacteria_bacterium_CAG_139	0.0024973094453688512
Bacteroides_eggerthii	0.002465180263742697
Hungatella_hathewayi	0.0024411697341558286
Clostridium_citroniae	0.0023426031778208873
Bacteroides_faecis	0.0021329512222369364
Bacteroides_faecis_CAG_32	0.0021035098121869023
Intestinibacter_bartlettii	0.0019418030171706648
Collinsella_stercoris	0.0017786042622795022
Anaerotignum_lactatifermentans	0.0017065774992164693
Dielma_fastidiosa	0.0016334434965023321
Acidaminococcus_intestini	0.0016179546030342937
Bacteroides_coprocola	0.0015945455399339768
Phascolarctobacterium_faecium	0.0015852660337514685
Erysipelatoclostridium_ramosum	0.001570883678726816
Bacteroides_plebeius	0.0015445206746873652
Anaerotruncus_colihominis	0.0014934699463463232
Clostridium_lavalense	0.0014929159254413813
Turicimonas_muris	0.0014724849422630534
Butyricimonas_virosa	0.0013651195211738774
Clostridium_asparagiforme	0.001309519012748846
Clostridium_innocuum	0.0012825926282978247
Clostridium_sp_CAG_242	0.0012325961261455915
Prevotella_sp_CAG_891	0.0009553110828784771
Clostridium_bolteae_CAG_59	0.0009025162993263389
Bifidobacterium_catenulatum	0.00089156716703406
Clostridium_aldenense	0.000709750566893424
Dialister_pneumosintes	0.0006596749811035525
Blautia_sp_CAG_257	0.0006351242496753331
Coprobacter_fastidiosus	0.0006271993114098376
Eubacterium_sp_CAG_251	0.00060658621320386
Clostridium_saccharolyticum	0.0003309052059052059
Alistipes_indistinctus	0.00022614685604881697
