species	degree	betweenness	closeness
Bacteroides_xylanisolvens	6	0.0	0.125
Odoribacter_splanchnicus	6	0.0	0.125
Ruminococcus_lactaris	6	0.0	0.125
Bifidobacterium_adolescentis	6	0.0	0.125
Parasutterella_excrementihominis	6	0.0017730496453900709	0.125
Bifidobacterium_longum	6	0.0	0.125
Blautia_obeum	6	0.0	0.125
Clostridium_sp_CAG_964	6	0.0	0.125
Dorea_longicatena	6	0.0017730496453900709	0.125
Ruminococcus_gnavus	5	0.0	0.10714285714285714
Gemmiger_formicilis	5	0.0	0.10714285714285714
Bacteroides_ovatus	5	0.0	0.10416666666666667
Eisenbergiella_tayi	5	0.0	0.10714285714285714
Firmicutes_bacterium_CAG_83	5	0.0	0.10714285714285714
Candidatus_Methanomassiliicoccus_intestinalis	5	0.0	0.10416666666666667
Clostridium_sp_CAG_58	5	0.0	0.10416666666666667
Oscillibacter_sp_CAG_241	5	0.0	0.10416666666666667
Parabacteroides_merdae	5	0.0	0.10416666666666667
Dorea_formicigenerans	5	0.0	0.10416666666666667
Alistipes_putredinis	3	0.0	0.0625
Ruminococcaceae_bacterium_D16	3	0.0	0.0625
Eubacterium_siraeum	3	0.0	0.0625
Proteobacteria_bacterium_CAG_139	3	0.0	0.0625
Collinsella_aerofaciens	3	0.0	0.0625
Eubacterium_eligens	3	0.0	0.0625
Bacteroides_thetaiotaomicron	3	0.0	0.0625
Parabacteroides_distasonis	3	0.0	0.0625
Alistipes_finegoldii	3	0.0	0.0625
Alistipes_shahii	3	0.0	0.0625
Lawsonibacter_asaccharolyticus	3	0.0	0.0625
Roseburia_faecis	3	0.0	0.0625
Dialister_invisus	2	0.0008865248226950354	0.041666666666666664
Clostridium_leptum	2	0.0	0.075
Roseburia_intestinalis	2	0.0	0.041666666666666664
Roseburia_hominis	2	0.0	0.041666666666666664
Eubacterium_sp_CAG_38	2	0.0	0.041666666666666664
Intestinimonas_butyriciproducens	2	0.0008865248226950354	0.041666666666666664
Faecalibacterium_prausnitzii	1	0.0	0.020833333333333332
Lachnospira_pectinoschiza	1	0.0	0.020833333333333332
Flavonifractor_plautii	1	0.0	0.027777777777777776
Bacteroides_vulgatus	1	0.0	0.020833333333333332
Bacteroides_dorei	1	0.0	0.020833333333333332
Anaerotruncus_colihominis	1	0.0	0.020833333333333332
Clostridium_clostridioforme	1	0.0	0.027777777777777776
Hungatella_hathewayi	1	0.0	0.020833333333333332
Fusicatenibacter_saccharivorans	1	0.0	0.027777777777777776
Bacteroides_caccae	1	0.0	0.020833333333333332
Monoglobus_pectinilyticus	1	0.0	0.020833333333333332
Roseburia_inulinivorans	1	0.0	0.027777777777777776
