	PC1	PC2	PC3	PC4	PC5
Bacteroides_uniformis	0.02777369464508371	0.05639853666078657	0.056929942873078766	0.23077351397531704	0.10166869023854809
Alistipes_finegoldii	0.054723982089203635	0.13966166322075085	0.11273905771356606	0.012494416775974368	0.5772324759724586
Bacteroides_stercoris	0.06751615361057789	-0.08570916380500099	0.15207613509182638	-0.035314951983789096	-0.06736376553886213
Acidaminococcus_intestini	0.1513917916694666	0.04222560869981113	0.03231010910272478	0.010759975836322199	0.7511857943976803
Alistipes_onderdonkii	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407882
Faecalibacterium_prausnitzii	0.11043015630558704	0.04705864129492733	-0.11694613442435847	-0.08109603968068475	0.028192249706768258
Akkermansia_muciniphila	0.013573744851928376	0.12779595749175746	0.029967439367042988	0.1840758219075721	0.015227270523622176
Bacteroides_vulgatus	-0.11382766847859342	-0.052837780038975574	0.07763011719372616	0.12839144930484134	0.006983638980669236
Bacteroides_thetaiotaomicron	0.003503694273654262	0.05977084236397576	-0.10423902759229435	0.20382754753665602	0.008033946633562446
Firmicutes_bacterium_CAG_83	0.15096767830689226	0.02776370565522058	0.04792022239574556	0.015620268989846257	-0.05171185603773409
Parabacteroides_distasonis	0.015924828685455507	0.07543863911769196	0.1786245256155735	0.031323084576800254	-0.041296820604206363
Prevotella_bivia	0.15139179166946634	0.042225608699811616	0.03231010910272501	0.01075997583632215	-0.018992725463278445
Ruminococcus_bicirculans	0.09122577725497519	0.13677241677327295	0.07259405933228916	0.006552523378798699	-0.06957986927434863
Clostridium_leptum	0.14139770223200143	0.001177810227549856	0.08455771053136395	0.030736118855821365	-0.004749748501821315
Bacteroides_xylanisolvens	0.04948097018868954	-0.06582340781650063	0.17108326110163008	0.04644273814874354	-0.030294255816768353
Eubacterium_eligens	0.04337204971519537	0.16309050290427946	0.08163808125084565	0.002713142059333861	-0.03570499478400962
Eubacterium_rectale	0.05750299767074923	-0.05550082871942332	0.10912183089828771	-0.17845432705128275	-0.059895489666812816
Flavonifractor_plautii	0.06017537493927748	-0.022181793206592325	-0.09069954515714275	0.20540436622342442	0.015964341364390282
Parasutterella_excrementihominis	0.14908039353423297	0.024772760981058472	0.05760432221224294	0.017915543563365458	-0.028143547684478736
Lachnospira_pectinoschiza	0.09877767687948749	0.1298593119502575	0.07109929504834324	0.006979727263422872	-0.019088991469337117
Escherichia_coli	0.1513917916694664	0.04222560869981163	0.03231010910272502	0.010759975836322157	-0.013388187188213716
Ruthenibacterium_lactatiformans	0.14751550628040414	0.01636239095098022	0.0548869975474324	0.05240721618274478	-0.053709477796645984
Dialister_invisus	0.09184723066704249	0.015021867148700874	-0.09783073876996043	0.1657071826718461	-0.030442401838949487
Bacteroides_dorei	0.1004708600421145	0.12568557169428793	0.07547294044396397	0.008453298313997042	-0.10058068826352462
Odoribacter_splanchnicus	0.05231275696693988	-0.10727910438602117	0.14456443272313563	0.04526947899808653	-0.008652132490426104
Bilophila_wadsworthia	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Ruminococcus_lactaris	0.007856909603654798	-0.11555837786947575	0.15186025205360054	0.04528449722549595	-0.041550196438416544
Peptoniphilus_coxii	0.1513917916694664	0.04222560869981163	0.03231010910272502	0.010759975836322157	-0.013388187188213716
Bifidobacterium_adolescentis	0.02430068929130848	-0.12059611635143073	0.14461079953714184	0.04515513787293779	-0.012785380502036606
Dorea_longicatena	0.12443626459079683	-0.0215933142360405	0.11665181801560383	0.03416202731596259	-0.029145815333345218
Butyricimonas_synergistica	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Collinsella_aerofaciens	-0.014330637708269435	-0.07090976456169609	-0.06035156942237853	-0.22491950010237297	0.04228605525738795
Clostridium_citroniae	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Roseburia_faecis	-0.020368868185497043	-0.008288554405016626	-0.13214503341587028	0.18935748311217174	-0.018133878716371177
Clostridium_sp_CAG_242	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Peptoniphilus_harei	0.1513917916694664	0.04222560869981163	0.03231010910272502	0.010759975836322157	-0.013388187188213716
Ruminococcus_gnavus	0.15128704429767745	0.0320248397811265	0.04342161482634308	0.014220509555493324	-0.06268628975968166
Hungatella_hathewayi	0.152117085775021	0.04121876410453206	0.018385150796861677	0.029794790572185013	-0.038998714332300136
Dialister_pneumosintes	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Eisenbergiella_tayi	0.14889626745703013	0.01408447668266227	0.061819121494124045	0.019939979277114016	-0.016634297472366638
Eikenella_corrodens	0.15139179166946634	0.042225608699811616	0.03231010910272501	0.01075997583632215	-0.018992725463278445
Gemella_asaccharolytica	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Blautia_hydrogenotrophica	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Clostridium_bolteae	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Blautia_obeum	-0.019886574347269426	-0.13231445713866152	0.13451678272746212	0.041807902571365574	0.009292328059263694
Clostridium_sp_CAG_964	0.020714010285076686	-0.12195942925380578	0.14424259516961183	0.045023959961205465	-0.005382034283955477
Clostridium_clostridioforme	0.015060722741795412	-0.007664724908864331	-0.1349515440196269	0.1873548427432971	0.02749124129559346
Bifidobacterium_longum	-0.010341722662140543	-0.13071426330605293	0.13771634381374545	0.04284838463402545	-0.025910624404435628
Butyricimonas_virosa	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Asaccharobacter_celatus	0.1513917916694664	0.04222560869981163	0.03231010910272502	0.010759975836322157	-0.013388187188213716
Alistipes_timonensis	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Lawsonibacter_asaccharolyticus	-0.029331038146689033	0.037729032400113605	-0.09556753491334567	0.21517144148638415	-0.011669456320057383
Anaerotruncus_colihominis	0.14035203571559837	0.033523714244580866	-0.03551945118794518	0.09825104045071445	-0.056667990440983584
Proteobacteria_bacterium_CAG_139	-0.06924049327011829	0.1554682637355867	0.06900712160545056	-0.005348854489269662	-0.05086308987786033
Anaerostipes_hadrus	-0.0450876535660315	-0.11248286358939912	0.12938960325930915	0.09414951735225718	0.02121377226389026
Fusicatenibacter_saccharivorans	-0.06704145469611475	0.05008163669092947	0.016636948539927907	0.22266690014485127	-0.00464501859720355
Adlercreutzia_equolifaciens	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Bacteroides_ovatus	-0.09592019798259276	0.07735024559272165	0.13386557581622155	0.015387301470795442	-0.017511430988453158
Turicimonas_muris	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Porphyromonas_asaccharolytica	-0.015105459673421124	-0.04036522092065644	-0.08808014283941545	-0.22350271706381158	0.06830290170686046
Gemmiger_formicilis	0.13255075753872256	-0.028634619667292704	0.10010096372790908	0.03178887219129994	0.014449651099537223
Bacteroides_sp_43_108	0.15139179166946637	0.04222560869981162	0.03231010910272501	0.010759975836322152	-0.030201802013407896
Alistipes_shahii	-0.07796039859713601	-0.043428892691688356	0.16369271212315792	0.035529923697999406	0.023686610958041032
Alistipes_putredinis	-0.08677593478210523	-0.012871239311131159	0.16300847320494996	0.0316762542056292	0.0030271431289192676
Parabacteroides_goldsteinii	-0.03331647465226736	-0.13367510048760872	0.12903973904562044	0.040040168282767755	0.01100312843114772
Parabacteroides_merdae	-0.09458997776128528	0.03279963706683988	0.15351258537326354	0.024387170363453597	-0.006379467178829561
Bacteroides_caccae	-0.046346929573162866	-0.1236650260643098	-0.008432850874805792	0.17884642898124137	0.05513347186148116
Bacteroides_faecis	-0.03331647465226736	-0.13367510048760872	0.12903973904562044	0.040040168282767755	0.01100312843114772
Eubacterium_siraeum	-0.09030360388390138	0.0038054720655724588	0.16075622372001244	0.029239154369185894	0.027271986256834035
Bacteroides_faecis_CAG_32	-0.03331647465226735	-0.1336751004876087	0.1290397390456204	0.04004016828276774	0.016607666706212477
Candidatus_Methanomassiliicoccus_intestinalis	-0.09631544273901294	0.05784869227980041	0.143690917130316	0.019536978575973384	-0.009739951203507964
Blautia_sp_CAG_257	-0.03331647465226736	-0.13367510048760872	0.12903973904562044	0.040040168282767755	0.01100312843114772
Megasphaera_sp_DISK_18	-0.03331647465226736	-0.13367510048760872	0.12903973904562044	0.040040168282767755	0.01100312843114772
Eubacterium_hallii	-0.03815723070425396	-0.14047325857695114	0.10969977545615246	0.07081510779982784	0.019213056408524654
Ruminococcaceae_bacterium_D16	-0.05342690129530875	-0.10208182382766383	0.14896820637859956	0.039893357802031106	0.015244270296185764
Monoglobus_pectinilyticus	-0.037895478845928754	-0.07450527239881526	-0.08717794069921536	0.19883766793282115	0.0032329946879582055
Oscillibacter_sp_CAG_241	-0.08311529587524999	0.1422113840872742	0.07635544536808607	-0.003127105046123046	-0.015590318897947457
Eisenbergiella_massiliensis	-0.03331647465226735	-0.1336751004876087	0.1290397390456204	0.04004016828276774	0.016607666706212477
Clostridium_sp_CAG_58	-0.08624237569192424	0.13441909512015512	0.08601275994300857	-0.00039856105799149157	-0.04340115422014378
Sellimonas_intestinalis	-0.03331647465226736	-0.13367510048760872	0.12903973904562044	0.040040168282767755	0.01100312843114772
Eubacterium_ventriosum	-0.03331647465226736	-0.13367510048760872	0.12903973904562044	0.040040168282767755	0.01100312843114772
Streptococcus_salivarius	-0.03331647465226736	-0.13367510048760872	0.12903973904562044	0.040040168282767755	0.01100312843114772
Dorea_formicigenerans	-0.09352175133056384	0.10551530035860462	0.11405040722833479	0.00828424375241682	0.0032185941699209757
Intestinimonas_butyriciproducens	-0.024169811428585486	-0.017229459925743963	-0.13837592134733567	0.179144176637294	0.045877239869658415
Prevotella_stercorea	-0.015298762948561114	-0.04040733079026497	-0.08809368771927717	-0.22344382118587222	0.012199526119203757
Porphyromonas_uenonis	-0.015298762948561109	-0.040407330790264984	-0.0880936877192772	-0.22344382118587225	0.034617679219462676
Parvimonas_micra	-0.015298762948561109	-0.040407330790264984	-0.0880936877192772	-0.22344382118587225	0.034617679219462676
Bacteroides_fragilis	-0.02346826344303271	-0.018034314673504113	-0.13878720711966044	0.17870131154665453	-0.02185106640134665
Roseburia_inulinivorans	-0.03598827772603359	0.003950815376910705	-0.13269510135720317	0.18259797536330447	-0.006241812451444021
Eubacterium_sp_CAG_38	-0.08924350213138962	0.1265373644512954	-0.033077483622460435	0.11507076397673083	0.0017305433853089733
Roseburia_hominis	-0.08979211026036338	0.12921410374696687	-0.02846648161850093	0.1102846125960043	0.007186592172324936
Anaerotignum_lactatifermentans	-0.02346826344303271	-0.018034314673504113	-0.13878720711966044	0.17870131154665453	-0.02185106640134665
Roseburia_intestinalis	-0.08263298909631789	0.15101714397960367	0.05520176156238307	0.008609617804331456	0.027402314370546632
Clostridium_saccharolyticum	-0.02346826344303271	-0.018034314673504113	-0.13878720711966044	0.17870131154665453	-0.02185106640134665
Bacteroides_cellulosilyticus	-0.07930829062560518	0.1498911372515662	0.06553104669059219	-0.006057634479872191	-0.010381554061050055
Bacteroides_massiliensis	-0.07930829062560518	0.1498911372515662	0.06553104669059219	-0.006057634479872191	-0.010381554061050055
